,cnpj,collected
Vallourec Florestal Ltda.,60.874.005/0001-75,X
Cantagalo General Grains S.A. ,12.944.170/0001-03,X
Insolo Agroindustrial S.A. ,08.956.819/0001-39,X
Cocamar Cooperativa Agroindustrial ,79.114.450/0001-65,X
Coamo Agroindustrial Cooperativa ,75.904.383/0001-21,X
Banbrisa Agropecuaria S.A. ,01.275.926/0001-52,X
ArcelorMittal BioFlorestas Ltda.,13.163.645/0001-97,X
Vanguarda Participacoes S.A.,07.214.136/0001-43,X
Cooperativa Agroindustrial dos Produtores Rurais do Sudoeste Goiano,02.077.618/0001-85,X
C. Vale - Cooperativa Agroindustrial,77.863.223/0001-07,X
Cooperativa Agroindustrial Lar,77.752.293/0001-98,unavailable
Copacol - Cooperativa Agroindustrial Consolata ,76.093.731/0001-90,X
Coasul Cooperativa Agroindustrial,79.863.569/0001-30,X
Coopercitrus Cooperativa de Produtos Rurais ,45.236.791/0001-91,unavailable
Cooperativa Agroindustrial Holambra,60.906.724/0001-20,X
Biopalma da Amazonia S.A. Reflorestamento. Industria e Comercio,08.581.205/0001-10,unavailable
Florestal Vale do Corisco S.A.,04.788.536/0001-74,X
Jatoba Agricultura e Pecuaria S.A.,76.701.655/0001-59,X
Mataboi Alimentos S.A.,16.820.052/0001-44,unavailable
Asa Alimentos S.A.,72.600.190/0001-99,X
Vale Grande Industria e Comercio de Alimentos S.A.,06.088.741/0001-52,X
Bonasa Alimentos S.A.,03.573.324/0002-98,X
Companhia de Alimentos Uniaves,07.144.671/0001-75,X
Agro Pecuaria Nova Louza S.A.,45.142.296/0001-13,X
Martins Agropecuaria S.A.,15.271.802/0001-03,X
Unisoja S.A.,03.357.729/0001-08,X
Eco Brasil Florestas S.A.,08.787.150/0001-07,X
SLC - MIT Empreendimentos Agricolas S.A.,18.531.594/0001-22,X
Agropecuaria Mafra S.A.,75.275.511/0001-15,X
Bramex Brasil Mercantil S.A.,70.216.429/0001-04,X
Companhia Agricola e Pecuaria Lincoln Junqueira,78.254.703/0001-33,X
Itaueira Agropecuaria S.A.,07.231.103/0001-01,X
Planagri S.A.,01.644.277/0001-10,X
Nidera Sementes Ltda.,07.053.693/0001-20,X
Asa Participacoes e Administracao Ltda.,03.603.610/0001-78,X
AFG Brasil S.A.,03.209.087/0001-08,X
Nardini Agroindustrial Ltda. ,48.708.267/0001-64,X
Alibem Alimentos S.A.,03.941.052/0001-50,X
Nova America Agricola Ltda.,61.383.386/0001-52,X
Serra Bonita Sementes S.A.,16.665.334/0001-14,X
Companhia Sul Americana de Pecuaria S.A.,21.278.812/0001-73,X
Citrovita Agro Pecuaria Ltda.,02.531.377/0001-00,X
Naturalle Agro Mercantil S.A.,03.465.501/0009-99,X
Regina Agroindustrial S.A.,07.209.331/0001-85,X
Cooperativa Agricola Mista de Adamantina ,43.001.981/0001-02,X
Coopermota Cooperativa Agroindustrial,46.844.338/0001-20,X
Agropecuaria Barra Funda S.A.,21.784.299/0001-92,X
Limagrain Brasil S.A.,12.770.927/0005-13,X
Cooperativa dos Plantadores de Cana do Oeste do Estado de Sao Paulo - Copercana,71.320.915/0001-22,X
Natural Pork Alimentos S.A.,17.356.474/0001-73,X
Cooperativa dos Plantadores de Cana do Estado de Sao Paulo ,54.366.547/0001-34,X
Cooperativa Veiling Holambra,03.630.560/0001-18,X
Primato Cooperativa Agroindustrial,02.168.202/0001-72,X
Capal Cooperativa Agroindustrial,78.320.397/0001-96,X
Cooperativa Triticola Sarandi Ltda. ,97.320.451/0001-48,X
Cooperativa Agroindustrial Copagril,81.584.278/0001-55,X
Castrolanda Cooperativa Agroindustrial Ltda.,76.108.349/0001-03,unavailable
Cooperativa Triticola Cacapavana Ltda.,87.678.132/0001-55,X
Integrada Cooperativa Agroindustrial,00.993.264/0001-93,X
Coopavel Cooperativa Agroindustrial,76.098.219/0001-37,X
Copasul Cooperativa Agricola Sul Matogrossense,03.902.129/0001-83,X
CJ Selecta S.A.,00.969.790/0001-18,X
GDM Genetica do Brasil S.A.,07.007.165/0001-34,X
Jatai Agroindustrial S.A.,01.092.049/0001-84,X
Avicola Catarinense S.A.,81.616.807/0001-55,unavailable
Cooperativa Agricola dos Produtores de Cana de Campo Novo do Parecis Ltda.,15.043.391/0001-07,X
Marubeni Graos Brasil S.A.,25.142.875/0001-59,X
Cooperativa Regional Agropecuaria de Campos Novos - Copercampos,83.158.824/0001-11,X
Cooperativa Triticola Sepeense Ltda.,97.225.346/0001-20,X
Cooperativa Agricola Mista Nova Palma Ltda.,91.022.632/0001-01,X
BF Participacoes S.A.,12.839.229/0001-01,X
Guararapes Paineis S.A.,08.810.422/0001-34,X
Khaya Woods Investimentos Florestais S.A.,30.271.287/0001-55,unavailable
DIP Frangos S.A.,21.819.182/0001-05,X
Vale S.A.,33.592.510/0001-54,X
Fiat Automoveis S.A.,16.701.716/0001-56,X
BRF S.A.,01.838.723/0001-27,X
Bunge Alimentos S.A. ,84.046.101/0001-93,X
Braskem S.A.,42.150.391/0001-70,X
Braskem S.A.,42.150.391/0001-70,X
Braskem S.A.,42.150.391/0001-70,X
Companhia de Bebidas das Americas - Ambev,02.808.708/0001-07,X
Embraer S.A.,07.689.002/0001-89,X
Companhia Siderurgica Nacional,33.042.730/0001-04,X
Usinas Siderurgicas de Minas Gerais S.A. - Usiminas,60.894.730/0001-05,X
Usinas Siderurgicas de Minas Gerais S.A. - Usiminas,60.894.730/0001-05,X
Usinas Siderurgicas de Minas Gerais S.A. - Usiminas,60.894.730/0001-05,X
Gerdau Acos Longos S.A.,07.358.761/0001-69,X
Whirlpool S.A.,59.105.999/0001-86,X
Whirlpool S.A.,59.105.999/0001-86,X
BASF S.A.,48.539.407/0001-18,X
Semp Amazonas S.A.,04.400.552/0001-48,X
Intelbras S.A. Industria de Telecomunicacao Eletronica Brasileira,82.901.000/0001-27,X
Laticinios Bom Gosto S.A.,94.679.479/0001-88,X
Yakult S.A. Industria e Comercio,60.723.061/0001-09,X
Industrias de Bebidas Joaquim Thomaz de Aquino Filho S.A.,31.901.382/0001-58,X
Metalurgica Schwarz S.A.,72.242.621/0001-92,X
Sulina de Metais S.A.,92.660.893/0001-10,X
Vidroforte Industria e Comercio de Vidros S.A.,92.639.954/0001-67,X
Metalosa Industria Metalurgica S.A.,27.485.374/0001-09,X
Argos Guindastes Industria e Comercio S.A.,05.104.046/0001-74,X
MAT S.A.,33.416.231/0001-30,X
Metalurgica Hassmann S.A.,89.772.065/0001-69,X
Xalingo S.A. Industria e Comercio,95.425.534/0001-76,X
Orsa International Paper Embalagens da Amazonia Ltda. ,04.398.525/0001-88,X
Sopasta S.A. Industria e Comercio,86.352.069/0001-08,X
Usimeca Industria Mecanica S.A.,08.972.254/0001-83,X
Siderurgica Sao Joaquim S.A.,45.365.541/0001-51,X
Garbo S.A.,61.322.970/0001-06,X
Digitel S.A. Industria Eletronica,89.547.269/0001-04,X
Calcados Andreza S.A.,91.665.554/0001-63,X
Dancor S.A. Industria Mecanica,33.561.853/0001-51,X
Fitedi Confeccoes S.A.,20.147.161/0001-10,X
Termomecanica Sao Paulo S.A.,59.106.666/0001-71,X
Nutrisul S.A. Produtos Alimenticios,80.972.078/0001-07,X
Jofund S.A.,79.230.678/0001-10,X
Compensados e Laminados Lavrasul S.A.,83.187.930/0001-23,X
RCN Industrias Metalurgicas S.A.,61.383.584/0001-16,X
Koch Metalurgica S.A.,92.693.928/0001-17,X
Moinho Itaipu S.A.,81.716.219/0001-93,X
Marel Industria de Moveis S.A.,77.808.640/0001-57,X
Tramontina Eletrik S.A.,88.674.080/0001-01,X
Brisa Industria de Tecidos Tecnologicos S.A.,02.036.823/0001-00,X
CPQ Brasil S.A.,74.552.068/0001-10,X
Vidroporto S.A.,48.845.556/0001-05,X
Keko Acessorios S.A.,91.013.698/0001-35,X
Copag da Amazonia S.A.,04.664.637/0001-33,X
Guacu S.A. Papeis e Embalagens,45.294.055/0001-90,X
CBS S.A. Companhia Brasileira de Sandalias,12.777.728/0001-03,X
BRF Pet S.A.,09.077.442/0001-00,X
Acofergo Tubos e Perfilados S.A.,06.881.776/0001-44,X
Fibrasa Nordeste S.A.,00.185.368/0001-71,X
Condor S.A. Industria Quimica,30.092.431/0001-96,X
Companhia Alcoolquimica Nacional,11.699.378/0001-41,X
Limppano S.A.,33.033.556/0001-33,X
Kley Hertz Farmaceutica S.A. ,92.695.691/0001-03,X
MMX Corumba Mineracao S.A.,07.557.381/0001-53,X
Industria Agro Comercial Cassava S.A.,85.778.595/0001-63,X
S.A. Moageira e Agricola,78.143.146/0001-83,X
Delta Greentech (Brasil) S.A.,03.911.570/0001-21,X
Omi do Brasil Textil S.A.,51.422.970/0001-16,X
Industria de Motores Anauger S.A.,59.134.635/0001-24,X
Faiveley Transport do Brasil Ltda.,33.060.708/0001-97,X
CAF Brasil Industria e Comercio S.A.,02.430.238/0001-82,X
Togni S.A. Materiais Refratarios,23.637.093/0001-65,X
Companhia Italo-Brasileira de Pelotizacao - Itabrasco,27.063.874/0001-44,X
Companhia Industrial Schlosser S.A.,82.981.929/0001-03,X
Conpel - Companhia Nordestina de Papel,09.116.278/0001-01,X
Isomonte S.A.,17.666.926/0001-13,X
Ritter Alimentos S.A.,90.286.139/0001-36,X
Metform S.A.,26.248.666/0001-57,X
Melt Metais e Ligas S.A.,25.248.287/0001-02,X
F. Souto Industria Comercio de Sal S.A.,08.248.940/0001-06,X
Para - Industrias Reunidas Raymundo da Fonte S.A.,22.949.911/0001-00,X
Brassinter S.A. Industria e Comercio,56.994.460/0001-37,X
Trans Sistemas de Transportes S.A.,02.249.216/0001-10,X
Companhia Manufatora de Tecidos de Algodao,19.525.260/0001-09,X
Trefilacao Uniao de Metais S.A.,61.456.463/0001-57,X
Sao Francisco Textil S.A.,02.710.680/0001-62,X
America Tampas S.A.,01.008.482/0001-99,X
Elster Medicao de Agua S.A.,21.581.509/0001-45,X
Exall Aluminio S.A.,74.685.173/0001-27,X
Rhodes S.A.,60.657.624/0001-08,X
Hitachi Kokusai Linear Equipamentos Eletronicos S.A.,19.690.445/0001-79,X
Perfilor S.A. Construcoes. Industria e Comercio,05.476.154/0001-78,unavailable
Castelo Alimentos S.A.,07.814.284/0001-07,X
TecToy S.A.,22.770.366/0001-82,X
Cotonificio de Andira S.A.,59.108.779/0001-06,X
Companhia Hemmer Industria e Comercio,82.641.986/0001-43,X
Unitextil - Uniao Industrial Textil S.A.,07.203.904/0001-63,X
JP Industria Farmaceutica S.A.,55.972.087/0001-50,X
Pedreira Anhanguera S.A. - Empresa de Mineracao,50.170.281/0001-07,X
Duroline S.A.,00.795.288/0001-38,X
Pinhalense S.A. Maquinas Agricolas,54.224.423/0001-14,unavailable
Arauco Forest Brasil S.A.,00.198.057/0001-47,X
Brascomp Compensados do Brasil S.A.,04.737.144/0001-86,X
Ceramica Santa Terezinha S.A.,53.858.312/0001-05,X
TCA - Tecnologia em Componentes Automotivos S.A.,00.763.047/0001-07,X
Industrias Machina Zaccaria S.A.,51.466.324/0001-50,X
Proquitec Industria de Produtos Quimicos e Representacao Comercial S.A.,49.493.653/0001-49,X
Buhler Industria e Comercio de Equipamentos Industriais Ltda.,60.885.761/0001-08,X
Butilamil Industrias Reunidas S.A.,54.361.175/0001-53,X
Harris Soldas Especiais S.A.,10.139.925/0001-71,X
Prensa Jundiai S.A.,50.925.890/0001-10,X
Bequisa Industria Quimica do Brasil Ltda.,58.133.703/0001-78,X
Pesqueira Pioneira da Costa S.A.,83.897.710/0001-93,X
Industria de Calcados Castro Alves S.A.,05.858.273/0001-95,X
Siti S.A. Sociedade de Instalacoes Termoeletricas Industriais,60.463.080/0001-43,X
Jatoba S.A.,72.908.239/0001-75,X
Dambroz S.A. Industria Mecanica e Metalurgica,88.613.716/0001-05,X
Mecanica Bonfanti S.A.,51.378.321/0001-65,X
Jackwal S.A.,92.782.366/0001-88,X
Nutriplant Industria e Comercio S.A.,51.128.999/0001-90,X
Sacor Siderotecnica S.A.,29.348.695/0001-89,X
Werner Fabrica de Tecidos S.A.,33.022.203/0001-38,X
CBF Industria de Gusa S.A.,36.312.056/0001-29,X
GMM Embalagens Industriais S.A.,03.738.129/0001-90,X
Cartonificio Valinhos S.A.,45.992.476/0001-94,X
Companhia Setelagoana de Siderurgia Cossisa,16.942.195/0001-29,X
Doormann S.A. Embalagens Plasticas,91.490.516/0001-17,X
Tome S.A. Industria de Auto Pecas,88.628.243/0001-10,X
Rimo S.A. Industria e Comercio,32.430.993/0001-28,X
Verdes S.A. Maquinas e Instalacoes,45.470.283/0001-73,X
ITM Industrias Texteis H. Milagre S.A.,89.842.439/0001-75,X
Bleistahl Brasil Metalurgia S.A.,87.888.772/0001-90,X
Curtume Jangadas S.A.,02.166.345/0001-45,X
Pan-Americana S.A. Industrias Quimicas,50.142.223/0001-61,X
Bicicletas Monark S.A.,56.992.423/0001-90,X
Laboratorio Gross S.A.,33.145.194/0001-72,X
Parks S.A. Comunicacoes Digitais,92.679.331/0001-18,X
Ventiladores Bernauer S.A.,61.413.852/0001-03,X
Xilolite S.A.,62.477.088/0001-94,X
Palmasola S.A. Madeiras e Agricultura,83.834.101/0001-95,X
Alufer S.A. Estruturas Metalicas,50.220.417/0001-38,X
Rezende S.A. Alcool e Acucar,29.321.684/0001-05,X
Haga S.A. Industria e Comercio,30.540.991/0001-66,X
Haga S.A. Industria e Comercio,30.540.991/0001-66,X
Laboratorios Griffith do Brasil S.A.,52.542.446/0001-41,X
Maclinea S.A. Maquinas e Engenharia para Madeiras,76.103.373/0001-50,X
Orion S.A.,61.082.863/0001-40,X
Vedacit do Nordeste S.A.,14.680.219/0001-93,X
Imaribo S.A. Industria e Comercio,76.486.463/0001-77,X
Vamtec Vitoria Ltda.,02.284.444/0001-21,X
Calcados Jacob S.A.,91.669.242/0001-28,X
America Tampas da Amazonia S.A.,04.569.809/0001-90,X
PLM Plasticos S.A.,02.385.570/0001-72,X
Industria de Feltros Santa Fe S.A.,60.730.512/0001-35,X
Dagoberto Barcellos S.A.,87.678.934/0001-65,X
Kapersul Industria e Comercio de Papeis S.A.,78.381.613/0001-03,X
Cipatex do Nordeste S.A.,02.007.875/0001-40,X
Apucarana Leather S.A.,09.271.307/0001-00,X
Triel - HT Industrial e Participacoes S.A.,89.422.042/0001-24,X
Cavaletti S.A. - Cadeiras Profissionais,88.709.621/0001-90,X
Wanke S.A.,84.228.105/0001-92,X
Irmaos Parasmo S.A. Industria Mecanica,60.881.992/0001-35,X
Companhia Brasileira de Litio,21.624.671/0001-01,X
Famiglia Zanlorenzi Ltda.,75.802.041/0001-09,X
Cafe Utam S.A.,56.012.420/0001-42,X
Labtest Diagnostica S.A.,16.516.296/0001-38,X
Azevedo Bento S.A. Comercio e Industria,92.787.175/0001-09,X
Plastico Novel do Nordeste S.A.,13.926.910/0001-41,X
Tercilio Marchetti S.A. Industria e Comercio,86.377.470/0001-94,X
Companhia Sisal do Brasil - Cosibra,09.092.610/0001-37,X
Forjasul Canoas S.A. Industria Metalurgica,88.313.853/0001-24,X
J. Marino Industria e Comercio S.A.,47.066.774/0001-89,X
Metalma da Amazonia S.A.,06.207.412/0001-83,X
Japi S.A. Industria e Comercio,71.522.460/0001-28,X
Arteb Farois e Lanternas S.A.,00.962.757/0001-66,X
Natulab Laboratorio S.A.,02.456.955/0001-83,X
Pancostura S.A. Industria e Comercio,61.086.781/0001-73,X
Vitoria Remoldagem Importacao e Exportacao de Pneus S.A.,07.952.485/0001-62,X
Formale Industria e Comercio Ltda. ,05.426.571/0001-06,X
Centro Auditivo Telex S.A.,33.060.302/0001-04,X
Agrostahl S.A. Industria e Comercio,45.493.772/0001-40,X
Grano Alimentos S.A.,02.106.825/0001-10,X
Bonor Industrial S.A.,02.968.267/0001-00,X
Tramontina Nordeste S.A.,15.205.628/0001-09,X
Iguacu Celulose Papel S.A.,81.304.727/0001-64,X
Berg Steel S.A. Fabrica Brasileira de Ferramentas,44.209.294/0001-31,X
Avibras Divisao Aerea e Naval S.A.,00.435.091/0001-98,X
Techseal Vedacoes Tecnicas S.A.,50.908.433/0001-18,X
Germer Porcelanas Finas S.A.,75.801.936/0001-10,X
C-Pack Creative Packaging S.A.,03.364.555/0001-00,X
Companhia de Fiacao e Tecidos Cedronorte,21.796.032/0001-15,X
Engrecon S.A.,60.554.219/0001-64,X
Lakeland Brasil S.A. ,04.011.170/0001-22,X
Ipelsa Industria de Papel da Paraiba S.A.,08.815.151/0001-00,X
Ipanema Comercial e Exportadora S.A.,01.983.074/0001-58,X
Curtume Aimore S.A.,87.314.894/0001-72,X
Heidrich S.A. Cartoes Reciclados - HCR,75.491.266/0001-83,X
Cisper da Amazonia S.A.,22.781.264/0001-62,X
Tevere S.A.,79.827.473/0001-17,X
Pamiro Agro Industria S.A.,43.470.384/0001-19,X
Flexcoat Produtos Auto-Adesivos S.A.,48.062.707/0001-59,X
Plasticos Metalma S.A.,61.432.118/0001-83,X
Incopre Industria e Comercio S.A.,27.394.758/0001-08,X
Laboratorio Catarinense S.A.,84.684.620/0001-87,X
Schnell Brasil S.A. - Industria de Maquinas,05.405.307/0001-96,X
Leon Heimer S.A.,10.805.893/0001-04,X
Industrias Sinimbu S.A.,30.536.619/0001-86,X
Schutz Vasitex Industria de Embalagens S.A.,06.255.543/0001-36,X
La Termoplastic FBM S.A.,01.608.977/0001-59,X
CAS Tecnologia S.A.,00.958.378/0001-00,X
Olsen Industria e Comercio S.A.,83.802.215/0001-53,X
CBTI - Companhia Brasileira de Tecnologia Industrial,43.717.032/0001-15,X
Tubopecas Industria e Comercio S.A.,46.296.018/0001-83,X
Mausa S.A. Equipamentos Industriais,54.363.072/0001-22,X
Neugebauer Alimentos S.A.,87.315.834/0001-74,X
Timavo do Brasil S.A. Industria Textil,44.740.066/0001-93,X
Mineracao Santa Elina Industria e Comercio S.A.,47.419.874/0001-41,X
Springer Plasticos da Amazonia S.A.,04.350.484/0001-50,X
Laminados de Madeiras do Para S.A.,04.732.657/0001-02,X
Ilumatic S.A. Iluminacao e Eletrometalurgica,61.276.226/0001-04,X
SFD S.A. Industria e Comercio,60.581.618/0001-14,X
Vetoquinol Saude Animal Ltda.,60.528.742/0001-16,X
Companhia de Mineracao Serra da Farofa - Cefar,17.157.546/0001-53,unavailable
Moinho Catarinense S.A.,85.129.518/0001-82,X
Arrozeira Sepeense S.A.,97.223.382/0001-54,X
Baovale Mineracao S.A.,04.660.182/0001-88,X
Kronorte S.A. Implementos Rodoviarios,12.599.825/0001-53,X
Companhia Fabril Mascarenhas,16.718.231/0001-75,X
Citri Agroindustrial S.A.,04.040.239/0001-46,X
Jari Florestal S.A.,00.950.724/0001-04,X
Tramontina Belem S.A.,14.068.605/0001-29,X
Irmaos Trevisan S.A. Industria. Comercio e Agricultura,87.754.941/0001-07,unavailable
Icon Estampos e Moldes S.A.,00.364.536/0001-96,unavailable
Cereais Vale do Javaes Agroindustrial S.A.,00.355.888/0001-85,X
Siderurgica Valinho S.A.,20.144.085/0001-99,X
Trop Frutas do Brasil S.A.,07.757.005/0001-02,X
S.A. Fosforos Gaboardi,83.754.986/0001-12,X
Aeroglass Brasileira S.A. Fibras de Vidro,61.665.212/0001-82,X
Eletro do Nordeste S.A.,04.082.204/0001-70,X
Sultextil S.A. Industria de Tecidos,91.409.698/0001-59,X
Fosforeira Brasileira S.A.,78.141.926/0001-94,X
Guadalajara S.A. Industria de Roupas,06.526.131/0001-93,X
Ferkoda S.A. Artefatos de Metais,57.506.115/0001-70,X
Laminort Industria e Comercio de Laminas S.A.,75.238.329/0001-94,X
Fiacao Alpina Nordeste S.A.,04.010.150/0001-37,X
Polyplastic S.A. Industria e Comercio,60.650.074/0001-03,X
UCB Biopharma Ltda.,64.711.500/0001-14,X
Rei Auto Parts Industria e Comercio S.A.,71.403.133/0001-57,X
Metalbasa - Metalurgica da Bahia S.A.,15.984.826/0001-00,X
Moinhos Unidos Brasil Mate S.A.,76.496.702/0001-70,X
Avanco S.A. Industria e Comercio de Maquinas,43.297.852/0001-03,X
Bio Springer do Brasil Industria de Alimentos S.A.,46.845.210/0001-81,X
Jardim Industria e Comercio S.A.,60.676.996/0001-81,X
Bombas Leao S.A.,52.940.533/0001-57,X
Moschetti S.A. Embalagens,92.783.174/0001-96,X
Amazonas Industrias Alimenticias S.A.,05.574.041/0001-05,X
Fezer Industria Mecanica S.A.,83.056.960/0001-09,X
Sociedade Produtora de Fibras Opticas S.A.,07.203.328/0001-54,X
Curtume Araputanga S.A.,01.395.652/0001-35,X
Helix Brasil S.A.,04.831.572/0001-73,X
Althaia S.A. Industria Farmaceutica ,48.344.725/0001-23,X
Industria de Pecas Inpel S.A.,89.723.845/0001-19,X
Rugeri Mec-Rul S.A.,88.614.417/0001-95,X
Clamper Industria e Comercio S.A.,66.429.895/0001-92,X
Caete S.A.,88.059.654/0001-31,X
Portal S.A. Industria e Comercio de Produtos Vegetais,02.166.947/0001-00,X
Cotam CIC Industrial de Alimentos S.A.,80.515.927/0001-01,X
Ceramica Stefani S.A.,50.377.159/0001-06,X
Jan Lips S.A. Industria e Comercio,61.095.600/0001-75,X
Siqueira Gurgel S.A. Comercio e Industria,07.204.381/0001-70,X
Gramazon Granitos da Amazonia S.A.,84.583.137/0001-06,X
Plexbond Quimica S.A.,08.593.983/0001-29,X
Petropar Embalagens S.A.,74.043.993/0001-15,X
Kemwater Brasil S.A.,01.210.857/0001-07,X
Rei Tintas S.A.,26.523.837/0001-09,X
Textil Norberto Simionato S.A.,44.207.389/0001-16,X
Petroleo e Lubrificantes do Nordeste S.A.,07.275.159/0001-68,X
Masiero Industrial S.A.,50.751.643/0001-45,X
Paumar S.A. Industria e Comercio,60.621.141/0001-53,X
Minas da Serra Geral S.A.,33.137.654/0001-10,X
Connan - Companhia Nacional de Nutricao Animal,06.034.767/0001-18,X
Microservice Tecnologia Digital S.A.,43.359.926/0001-80,X
Campo Limpo Reciclagem e Transformacao de Plasticos S.A.,09.456.668/0001-12,X
Torquato Pontes Pescados S.A.,94.873.981/0001-25,X
Industrial Boituva de Bebidas S.A.,91.669.333/0001-63,X
Favab S.A.,15.147.507/0001-40,X
Agroindustrial Palmasa S.A.,15.282.791/0001-67,X
Texpar - Textil da Paraiba S.A.,01.797.251/0001-01,X
A Quimica Santa Marina S.A.,33.515.412/0001-13,X
JLX Mineracao S.A.,09.545.681/0001-48,X
Newsul S.A. Embalagens e Componentes,00.386.430/0001-93,X
